institution,source_url,project_name,country,approval_date,amount_usd_m,YOUR_INSTRUMENT,YOUR_INSTRUMENT_REASON,description_excerpt
IDB Invest,https://idbinvest.org/en/projects/promerica-es-bond,Promerica ES - Bond,El Salvador,12/21/2021,20,Senior Debt,,"The proposed transaction is a subscription to the first public issuance program of sustainable bonds by in the local Salvadoran market, for up to US$100 million, of which US$20 million will be subscribed by IDB Invest during the first issue and the remainder, limited to US$80&nbsp;million, will be s"
IDB Invest,https://idbinvest.org/en/projects/rutas-27-bond,Rutas 2/7 - Bond,Paraguay,12/7/2021,80.5,Senior Debt,bond issuance for PPP refinancing for highway expansion project,
IDB Invest,https://idbinvest.org/en/projects/refi-rumichaca-pasto-4g-toll-road,Rumichaca-Pasto Toll-road - Social Financing,Colombia,11/23/2021,0,,"a toll road refinancing where IDB expects to ""help mobilize institutional investor resources"", so unclear","The Rumichaca-Pasto corridor (the “Project) is part of the fourth generation (4G) concession group led by the Government of Colombia through its National Infrastructure Agency (ANI, for its Spanish acronym). The Project, operated by Concesionaria Vial Unión del Sur (the “Concessionaire”), covers 83 "
IDB Invest,https://idbinvest.org/en/projects/pichincha-gender-bond,Pichincha Gender Bond,Ecuador,11/18/2021,15,Senior Debt,,The project consists of supporting Banco Pichincha C.A. in the first Senior Social Gender Bond issuance in Ecuador. The total amount of the Bond is up to US$200 million with a five-year term. IDB Invest will act as investor with a subscription for a total amount of up to US$50 million. The Internati
IDB Invest,https://idbinvest.org/en/projects/banking-institution-colombia-bank,"Banking Institution of Colombia (""The Bank"")",Colombia,11/5/2021,0,Senior Debt,,"The proposed transaction consists of supporting the Bank to strengthen its funding through the purchase of COP76.5 billion (approximately US$20 million) of the Social Bonds to be issued by this entity, the total value of the issuance is up to COP150 billion. The remaining investors will be Colombian"
IDB Invest,https://idbinvest.org/en/projects/produbanco-sustainable-bond,Produbanco Sustainable Bond,Ecuador,7/29/2021,40,Senior Debt,,The Project consists of supporting Produbanco (“PB”) in the first issuance of a Sustainable Bond in the private sector of Ecuador. The total amount of the Bond is up to US$50 million divided in two&nbsp;series:&nbsp;(i)&nbsp;Serie A where IDB Invest will act as an investor with a 100% subscription f
IDB Invest,https://idbinvest.org/en/projects/bncr-social-subordinated-bond,BNCR - Social Subordinated Bond,Costa Rica,6/30/2021,45,,subordinated debt?,The proposed transaction consists of a social subordinated bond of up to US$75 million which will be funded in up to US$50 million by IDB Invest and the rest (up to US$25 million) by other impact investors. IDB Invest will support Banco Nacional de Costa Rica (“BNCR” or the “Bank”) to launch its fir
IDB Invest,https://idbinvest.org/en/projects/cardal-punta-del-tigre-salto-t-line-b-bond,Cardal-Punta del Tigre-Salto T-Line B Bond,Uruguay,6/15/2021,14,,"subordinated debt? Source says B bond, but also seems to mostly be about an E&S review for which it scored a ""B"", so unclear","On December 2019 the Uruguayan National Utility of Electric Plants and Transmission Administration (Administración Nacional de Usinas y Trasmisiones Electricas, herafater “UTE"") awarded Tealov S. A. the design and construction of: i) a 60 km long 500 kV transmission line (“TL”); ii) a 20 km 150 kV T"
IDB Invest,https://idbinvest.org/en/projects/bbva-ur-subordinated-sustainable-bond,BBVA UR - Subordinated Sustainable Bond,Uruguay,9/30/2020,15,,subordinated debt? Source says subordinated bond,"Scope of Environmental and Social Review. The environmental and social review of the proposed transaction was carried out through desk research, several client interviews, and a portfolio review. BBVA is an existing client of the IDB Group and has an Environmental and Social Management System (“ESMS"
IDB Invest,https://idbinvest.org/en/projects/proyecto-dcm-17,Proyecto DCM #17,Colombia,9/29/2020,0,Senior Debt,,"The project consists of a subscription of a social bond with a focus on gender for up to the equivalent in Colombian pesos to US$40 million, to be issued by a Colombian entity through an offer on Colombia’s Second Market. The issue will be divided into two series: (i) Series A, for the equivalent in"
